,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,cuisine,r_id
0,B3_K2kUVbYOU0VaLcj_LTw,thai-villa-new-york-2,Thai Villa,https://s3-media3.fl.yelpcdn.com/bphoto/XKvKGgVuj4_jhqHPVQj4_A/o.jpg,False,https://www.yelp.com/biz/thai-villa-new-york-2?adjust_creative=S5PZothSIXWTC4kzS_Te5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S5PZothSIXWTC4kzS_Te5w,4000,"[{'alias': 'thai', 'title': 'Thai'}]",4.5,"{'latitude': 40.73902, 'longitude': -73.99065}","['pickup', 'delivery']",$$,"{'address1': '5 E 19th St', 'address2': 'G Floor', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['5 E 19th St', 'G Floor', 'New York, NY 10003']}",+12128029999,(212) 802-9999,2571.0708403093968,Thai,1.0
1,O1fUmxt3kbV-rnyjBtzAfw,thep-thai-restaurant-new-york-5,THEP Thai Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/WymEpZCm4CPRTeVHXVyzXQ/o.jpg,False,https://www.yelp.com/biz/thep-thai-restaurant-new-york-5?adjust_creative=S5PZothSIXWTC4kzS_Te5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S5PZothSIXWTC4kzS_Te5w,1675,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,"{'latitude': 40.77078, 'longitude': -73.95727}","['pickup', 'delivery']",$$,"{'address1': '1439 2nd Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10021', 'country': 'US', 'state': 'NY', 'display_address': ['1439 2nd Ave', 'New York, NY 10021']}",+12128999995,(212) 899-9995,2139.6234386595825,Thai,2.0
2,jjJc_CrkB2HodEinB6cWww,lovemama-new-york,LoveMama,https://s3-media1.fl.yelpcdn.com/bphoto/bLlFKTlVuLfmF-lIDGIjZA/o.jpg,False,https://www.yelp.com/biz/lovemama-new-york?adjust_creative=S5PZothSIXWTC4kzS_Te5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S5PZothSIXWTC4kzS_Te5w,5781,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'malaysian', 'title': 'Malaysian'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]",4.5,"{'latitude': 40.730408722512074, 'longitude': -73.98612673033213}","['pickup', 'delivery']",$$,"{'address1': '174 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['174 2nd Ave', 'New York, NY 10003']}",+12122545370,(212) 254-5370,3375.989747860096,Thai,3.0
3,-OixbLnFLCzQclxCSbUQ8w,up-thai-new-york,Up Thai,https://s3-media3.fl.yelpcdn.com/bphoto/78u5SWauEV0nu9Tus3bf6g/o.jpg,False,https://www.yelp.com/biz/up-thai-new-york?adjust_creative=S5PZothSIXWTC4kzS_Te5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S5PZothSIXWTC4kzS_Te5w,2590,"[{'alias': 'thai', 'title': 'Thai'}]",4.5,"{'latitude': 40.7698275926665, 'longitude': -73.9576330868512}","['pickup', 'delivery']",$$,"{'address1': '1411 2nd Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10021', 'country': 'US', 'state': 'NY', 'display_address': ['1411 2nd Ave', 'New York, NY 10021']}",+12122561188,(212) 256-1188,2056.9347338849025,Thai,4.0
4,MhceeLrM2_3mcKw5EGLY6A,pure-thai-cookhouse-new-york,Pure Thai Cookhouse,https://s3-media2.fl.yelpcdn.com/bphoto/QFYS-7MPGlOjUUy_2TkwLw/o.jpg,False,https://www.yelp.com/biz/pure-thai-cookhouse-new-york?adjust_creative=S5PZothSIXWTC4kzS_Te5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S5PZothSIXWTC4kzS_Te5w,2661,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'soup', 'title': 'Soup'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.0,"{'latitude': 40.764291, 'longitude': -73.988159}","['pickup', 'delivery']",$$,"{'address1': '766 9th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['766 9th Ave', 'New York, NY 10019']}",+12125810999,(212) 581-0999,931.2117395996819,Thai,5.0
5,NN3mOWF5e_pnR1ArqM2bHQ,obao-new-york-3,OBAO,https://s3-media4.fl.yelpcdn.com/bphoto/CpVI2XJLrvg09Fm83bfPog/o.jpg,False,https://www.yelp.com/biz/obao-new-york-3?adjust_creative=S5PZothSIXWTC4kzS_Te5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S5PZothSIXWTC4kzS_Te5w,3109,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.0,"{'latitude': 40.7606544, 'longitude': -73.991332}","['pickup', 'delivery']",$$,"{'address1': '647 9th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['647 9th Ave', 'New York, NY 10036']}",+12122458880,(212) 245-8880,1081.8367324430385,Thai,6.0
6,VoAuIReq_cPUrFwxbWqG_Q,sala-thai-restaurant-new-york-2,Sala Thai Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/AKgpQ1OS74BO3qkY32WiDw/o.jpg,False,https://www.yelp.com/biz/sala-thai-restaurant-new-york-2?adjust_creative=S5PZothSIXWTC4kzS_Te5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S5PZothSIXWTC4kzS_Te5w,549,"[{'alias': 'thai', 'title': 'Thai'}]",4.5,"{'latitude': 40.7801199, 'longitude': -73.98032}","['pickup', 'delivery']",$$,"{'address1': '307 Amsterdam Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['307 Amsterdam Ave', 'New York, NY 10023']}",+12124333999,(212) 433-3999,2214.986216407174,Thai,7.0
7,wGFSTTB6b4MHJJUzBnVJeg,top-thai-greenwich-new-york,Top Thai Greenwich,https://s3-media4.fl.yelpcdn.com/bphoto/4xK8iIj2rZrRvP9MMG7yOA/o.jpg,False,https://www.yelp.com/biz/top-thai-greenwich-new-york?adjust_creative=S5PZothSIXWTC4kzS_Te5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S5PZothSIXWTC4kzS_Te5w,1677,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'halal', 'title': 'Halal'}]",4.5,"{'latitude': 40.729771, 'longitude': -73.999392}","['pickup', 'delivery']",$$,"{'address1': '235 Sullivan St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['235 Sullivan St', 'New York, NY 10012']}",+16467264418,(646) 726-4418,3815.4646277956435,Thai,8.0
8,WJS06XxRdc6DD1s4LWE9HA,fish-cheeks-new-york,Fish Cheeks,https://s3-media2.fl.yelpcdn.com/bphoto/pqupe3fe52869QQ23KkiBg/o.jpg,False,https://www.yelp.com/biz/fish-cheeks-new-york?adjust_creative=S5PZothSIXWTC4kzS_Te5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S5PZothSIXWTC4kzS_Te5w,954,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'raw_food', 'title': 'Live/Raw Food'}]",4.5,"{'latitude': 40.7258, 'longitude': -73.9927}","['pickup', 'delivery']",$$,"{'address1': '55 Bond St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['55 Bond St', 'New York, NY 10012']}",+12126772223,(212) 677-2223,4016.9386861514636,Thai,9.0
9,-XYp6w50XbZfS90YddS5ew,soothr-new-york-2,Soothr,https://s3-media3.fl.yelpcdn.com/bphoto/7Kg74WVsVfMB-2eG0I_QAQ/o.jpg,False,https://www.yelp.com/biz/soothr-new-york-2?adjust_creative=S5PZothSIXWTC4kzS_Te5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=S5PZothSIXWTC4kzS_Te5w,411,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.732259, 'longitude': -73.987363}","['pickup', 'delivery']",$$,"{'address1': '204 E 13th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['204 E 13th St', 'New York, NY 10003']}",+12128449789,(212) 844-9789,3191.918530420654,Thai,10.0
